id,region,year,organization,category,title_ja,title_en,language,url,landing_url,doi,notes
jcs2017-inherited-arrhythmia,JP,2017,日本循環器学会 / 日本不整脈心電学会 ほか,不整脈,遺伝性不整脈の診療に関するガイドライン（2017年改訂版）,Guidelines for Diagnosis and Management of Inherited Arrhythmias (JCS 2017),ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2017/12/JCS2017_aonuma_h.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 青沼和隆. Digest: https://www.j-circ.or.jp/cms/wp-content/uploads/2017/12/JCS2017_aonuma_d.pdf. Superseded by 2026 edition.
jcs2012-syncope-digest,JP,2012,日本循環器学会 合同研究班,不整脈,【ダイジェスト版】失神の診断・治療ガイドライン（2012年改訂版）,Guidelines for Diagnosis and Management of Syncope (JCS 2012) - Digest Version,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2020/02/JCS2012_inoue_d-1.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 井上博. Relevant to school heart screening / pediatric syncope. URL literal from search index.
jcs2010-sudden-cardiac-death,JP,2010,日本循環器学会 合同研究班,不整脈,心臓突然死の予知と予防法のガイドライン（2010年改訂版）,Guidelines for Risks and Prevention of Sudden Cardiac Death (JCS 2010),ja,https://j-circ.or.jp/old/guideline/pdf/JCS2010aizawa.h.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 相澤義房. Relevant to school screening / pediatric SCD. Mirror: https://plaza.umin.ac.jp/~jscvs/wordpress/wp-content/uploads/2020/06/JCS2010aizawa.h.pdf. Superseded by 2022 arrhythmia diagnosis guideline.
jspccs-pediatric-arrhythmia,JP,2010,日本小児循環器学会「小児不整脈の診断・治療に関する検討委員会」,不整脈,小児不整脈の診断・治療ガイドライン,Guidelines for Diagnosis and Treatment of Pediatric Arrhythmias (JSPCCS),ja,https://jspccs.jp/wp-content/uploads/guideline_cure.pdf,https://jspccs.jp/publication/guideline/,,"委員長 住友直方. Year approximate (published in 日本小児循環器学会雑誌 supplement, c. 2010). URL literal from search index."
jspccs2023-chd-surgery-centralization,JP,2023,日本小児循環器学会 / 日本心臓血管外科学会 / 日本胸部外科学会,外科治療,先天性心疾患の手術を行う施設の集約化（地域拠点化）に関する提言,Statement on Regionalization/Centralization of Congenital Heart Surgery Facilities in Japan,ja,https://jspccs.jp/publication/guideline/,https://jspccs.jp/publication/guideline/,,Direct PDF not found by search; landing page lists the statement.
jcs2026-pregnancy-fu,JP,2026,日本循環器学会 / 日本産科婦人科学会,妊娠・出産,2026年 JCS/JSOG ガイドライン フォーカスアップデート版 心血管疾患患者の妊娠・出産の適応と診療,JCS/JSOG 2026 Guideline Focused Update on Pregnancy and Delivery in Women with Cardiovascular Disease,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2026/03/JCS2026_Kamiya_Katsuragi.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 神谷千津子・桂木真司. Issued 2026-03-20. URL literal from search index.
jcs2018-pregnancy-heart-disease,JP,2018,日本循環器学会 / 日本産科婦人科学会 ほか,妊娠・出産,心疾患患者の妊娠・出産の適応、管理に関するガイドライン（2018年改訂版）,JCS/JSOG 2018 Guideline on Indication and Management of Pregnancy and Delivery in Women with Heart Disease,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2018/06/JCS2018_akagi_ikeda.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 赤木禎治・池田智明. URL literal from search index. Minds entry c00572.
jcs2010-pregnancy-en,JP,2012,"Japanese Circulation Society (Circulation Journal, J-STAGE)",妊娠・出産,（英語版）心疾患患者の妊娠・出産の適応、管理に関するガイドライン（2010年改訂版）,Guidelines for Indication and Management of Pregnancy and Delivery in Women With Heart Disease (JCS 2010) (Circ J 2012;76:240-260),en,https://www.jstage.jst.go.jp/article/circj/76/1/76_CJ-88-0023/_pdf,https://www.jstage.jst.go.jp/article/circj/76/1/76_CJ-88-0023/_article,,URL literal from search index. Older edition; no English translation of the 2018 edition was found.
jcs2025-school-heart-screening-fu,JP,2025,日本循環器学会 / 日本小児循環器学会,学校・スポーツ,2025年 JCS/JSPCCS ガイドライン フォーカスアップデート版 学校心臓検診,JCS/JSPCCS 2025 Guideline Focused Update on Heart Disease Screening in Schools,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2025/03/JCS2025_Iwamoto.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 岩本眞理. Issued 2025-03-29. URL literal from search index.
jspccs2024-school-screening-digitalization,JP,2024,日本小児循環器学会 ほか5学会,学校・スポーツ,学校心臓検診のデジタル化に関する提言（5学会合同提言、2024年11月）,"Statement on Digitalization of School Heart Screening (5-society joint statement, Nov 2024)",ja,https://jspccs.jp/publication/guideline/,https://jspccs.jp/publication/guideline/,,Direct PDF not found by search; landing page lists the statement.
gakkohoken2020-school-life-management,JP,2021,公益財団法人 日本学校保健会,学校・スポーツ,心疾患児 学校生活管理指導のしおり（令和2年度改訂）,Guide to School Life Management for Children with Heart Disease (2020 revision),ja,https://www.gakkohoken.jp/book/ebook/ebook_R030010/,https://www.gakkohoken.jp/books/archives/249,,E-book landing (学校生活管理指導表 explanation). Older PDF edition (2001): https://www.gakkohoken.jp/book/ebook/ebook_H130030/H130030.pdf
jcs2016-school-heart-screening-digest-en,JP,2018,"Japanese Circulation Society / JSPCCS (Circulation Journal, J-STAGE)",学校・スポーツ,（英語版ダイジェスト）2016年版 学校心臓検診のガイドライン,Guidelines for Heart Disease Screening in Schools (JCS 2016/JSPCCS 2016) - Digest Version (Circ J 2018;82(9)),en,https://www.jstage.jst.go.jp/article/circj/82/9/82_CJ-66-0153/_pdf,https://www.jstage.jst.go.jp/article/circj/82/9/82_CJ-66-0153/_article,,PDF path derived from J-STAGE article page (standard /_pdf).
jcs2016-school-heart-screening,JP,2016,日本循環器学会 / 日本小児循環器学会,学校・スポーツ,2016年版 学校心臓検診のガイドライン,Guidelines for Heart Disease Screening in Schools (JCS 2016/JSPCCS 2016),ja,https://www.j-circ.or.jp/old/guideline/pdf/JCS2016_sumitomo_h.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 住友直方. URL literal from search index. Digest: https://www.j-circ.or.jp/cms/wp-content/uploads/2020/02/JCS2016_sumitomo_d.pdf
jcs2016-school-heart-screening-digest,JP,2016,日本循環器学会 / 日本小児循環器学会,学校・スポーツ,【ダイジェスト版】2016年版 学校心臓検診のガイドライン,Guidelines for Heart Disease Screening in Schools (JCS 2016/JSPCCS 2016) - Digest Version,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2020/02/JCS2016_sumitomo_d.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,URL literal from search index.
jcs2008-exercise-eligibility,JP,2008,日本循環器学会 合同研究班,学校・スポーツ,心疾患患者の学校、職域、スポーツにおける運動許容条件に関するガイドライン（2008年改訂版）,"Guidelines on Exercise Eligibility for Patients with Heart Disease in School, Workplace and Sports (JCS 2008)",ja,https://www.j-circ.or.jp/guideline/guideline-series/,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 長嶋正實. Direct PDF not located by search (expected /old/guideline/pdf/JCS2008_nagashima_h.pdf). Landing only.
jspccs2020-kawasaki-acute-en,JP,2021,Japanese Society of Pediatric Cardiology and Cardiac Surgery (J-STAGE),川崎病,（英語版）川崎病急性期治療のガイドライン（2020年改訂版）,Guidelines for Medical Treatment of Acute Kawasaki Disease (2020 Revised Version) - J Pediatr Cardiol Card Surg 5(1):41-73 (2021),en,https://www.jstage.jst.go.jp/article/jpccs/5/1/5_0501G1/_pdf,https://www.jstage.jst.go.jp/article/jpccs/5/1/5_0501G1/_article,,PDF URL literal from search index (title matched 'Journal of Pediatric Cardiology and Cardiac Surgery 5(1): 41-73 (2021)'). Content identity as the Kawasaki guideline English version inferred from page range; confirm.
jcs2020-kawasaki-sequelae,JP,2020,日本循環器学会 / 日本心臓血管外科学会 ほか,川崎病,2020年改訂版 川崎病心臓血管後遺症の診断と治療に関するガイドライン,JCS/JSCS 2020 Guideline on Diagnosis and Management of Cardiovascular Sequelae in Kawasaki Disease,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2020/02/JCS2020_Fukazawa_Kobayashi.pdf,https://www.j-circ.or.jp/old/guideline/20200313_guideline.htm,,班長 深澤隆治・小林徹. Also at https://www.j-circ.or.jp/old/guideline/pdf/JCS2020_Fukazawa_Kobayashi.pdf
jcs2020-kawasaki-sequelae-en,JP,2020,"Japanese Circulation Society (Circulation Journal, J-STAGE)",川崎病,（英語版）2020年改訂版 川崎病心臓血管後遺症の診断と治療に関するガイドライン,JCS/JSCS 2020 Guideline on Diagnosis and Management of Cardiovascular Sequelae in Kawasaki Disease (Circ J 2020;84:1348-1407),en,https://www.jstage.jst.go.jp/article/circj/84/8/84_CJ-19-1094/_pdf,https://www.jstage.jst.go.jp/article/circj/84/8/84_CJ-19-1094/_article,,PDF path derived from J-STAGE article page (standard /_pdf). DOI 10.1253/circj.CJ-19-1094. PubMed 32641591.
jspccs2020-kawasaki-acute,JP,2020,日本小児循環器学会,川崎病,川崎病急性期治療のガイドライン（2020年改訂版）,"Guidelines for Medical Treatment of Acute Kawasaki Disease (2020 Revised Version), JSPCCS",ja,https://jpccs.jp/10.9794/jspccs.36.S1.1/data/index.pdf,https://jpccs.jp/10.9794/jspccs.36.S1.1/data/index.html,,日本小児循環器学会雑誌 36(S1): S1.1-S1.29 (2020). PDF URL literal from search index.
jskd2019-kawasaki-diagnosis-6th,JP,2019,日本川崎病学会 / 日本川崎病研究センター / 厚生労働科学研究 難治性血管炎に関する調査研究班,川崎病,川崎病診断の手引き 改訂第6版,"Diagnostic Guidelines for Kawasaki Disease, 6th Revised Edition",ja,https://jskd.jp/wp-content/uploads/2022/10/tebiki201906.pdf,https://www.jskd.jp/%E5%B7%9D%E5%B4%8E%E7%97%85%E9%96%A2%E9%80%A3%E6%83%85%E5%A0%B1/%E8%A8%BA%E6%96%AD%E3%81%AE%E6%89%8B%E5%BC%95%E3%81%8D/,,Revised May 2019. URL literal from search index.
jcs2025-heart-failure,JP,2025,日本循環器学会 / 日本心不全学会,心不全,2025年改訂版 心不全診療ガイドライン,JCS/JHFS 2025 Guideline on Diagnosis and Treatment of Heart Failure,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2025/03/JCS2025_Kato.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 加藤真帆人ほか. Adult-focused; includes ACHD/pediatric-onset HF sections. URL literal from search index. English: Circ J advpub CJ-25-0002.
jcs2023-myocarditis,JP,2023,日本循環器学会 合同研究班,心不全,2023年改訂版 心筋炎の診断・治療に関するガイドライン,JCS 2023 Guideline on the Diagnosis and Treatment of Myocarditis,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2023/03/JCS2023_nagai.pdf,https://minds.jcqhc.or.jp/summary/c00776/,,"班長 永井利幸. Includes pediatric myocarditis section; listed on JSPCCS page. English: Circ J 2023;87:674-754 (https://www.jstage.jst.go.jp/article/circj/87/5/87_CJ-22-0696/_pdf), Minds e00098."
jcs2021-implantable-vad,JP,2021,日本循環器学会 / 日本心臓血管外科学会 / 日本胸部外科学会 / 日本血管外科学会,心不全,2021年改訂版 重症心不全に対する植込型補助人工心臓治療ガイドライン,JCS/JSCVS/JATS/JSVS 2021 Guideline on Implantable Left Ventricular Assist Device for Patients With Advanced Heart Failure,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2021/03/JCS2021_Ono_Yamaguchi.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 小野稔・山口修. Includes pediatric VAD (EXCOR) section. Listed on JSPCCS guideline page. URL literal from search index.
jcs2018-cardiomyopathy,JP,2018,日本循環器学会 / 日本心不全学会,心不全,心筋症診療ガイドライン（2018年改訂版）,JCS/JHFS 2018 Guideline on the Diagnosis and Treatment of Cardiomyopathies,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2018/08/JCS2018_tsutsui_kitaoka.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 筒井裕之・北岡裕章. Includes pediatric cardiomyopathy chapter; listed on JSPCCS page. j-circ URL reported in search summary; literal mirror: https://plaza.umin.ac.jp/~jscvs/wordpress/wp-content/uploads/2020/06/JCS2018_tsutsui_kitaoka.pdf
jcs2016-heart-transplant-statement,JP,2016,日本循環器学会 / 日本心臓病学会 / 日本心臓血管外科学会 / 日本心不全学会 ほか,心不全,心臓移植に関する提言（2016年版）,Statement on Heart Transplantation (JCS 2016),ja,https://www.j-circ.or.jp/old/guideline/pdf/JCS2016_isobe_h.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 磯部光章. Includes pediatric heart transplantation. Mirror: https://jscvs.or.jp/wp-content/uploads/2020/06/JCS2016_isobe_h.pdf
jspccs2015-pediatric-heart-failure-drug,JP,2015,日本小児循環器学会,心不全,小児心不全薬物治療ガイドライン（平成27年/2015年改訂版）,The Clinical Guideline for Medical Treatment of Pediatric Heart Failure (JSPCCS 2015),ja,https://jspccs.jp/wp-content/uploads/31-S2-1.pdf,https://jpccs.jp/10.9794/jspccs.31.S2_1/data/index.html,,日本小児循環器学会雑誌 31(S2) (2015). URL literal from search index.
jspccs2006-pediatric-acute-myocarditis,JP,2006,日本小児循環器学会 学術委員会,心不全,小児期急性・劇症心筋炎の診断と治療の指針,Guidance on Diagnosis and Treatment of Acute and Fulminant Myocarditis in Children (JSPCCS),ja,https://jspccs.jp/wp-content/uploads/j2204_514.pdf,https://jspccs.jp/publication/guideline/,,日本小児循環器学会雑誌 22(4) (2006). URL literal from search index.
jcs2017-infective-endocarditis-en,JP,2019,"Japanese Circulation Society (Circulation Journal, J-STAGE)",感染性心内膜炎,（英語版）感染性心内膜炎の予防と治療に関するガイドライン（2017年改訂版）,JCS 2017 Guideline on Prevention and Treatment of Infective Endocarditis (Circ J 2019;83:1767-1809),en,https://www.jstage.jst.go.jp/article/circj/83/8/83_CJ-19-0549/_pdf,https://minds.jcqhc.or.jp/summary/e00077/,,PDF URL literal from search index. DOI 10.1253/circj.CJ-19-0549.
jcs2017-infective-endocarditis,JP,2017,日本循環器学会 合同研究班,感染性心内膜炎,感染性心内膜炎の予防と治療に関するガイドライン（2017年改訂版）,JCS 2017 Guideline on Prevention and Treatment of Infective Endocarditis,ja,https://www.j-circ.or.jp/old/guideline/pdf/JCS2017_nakatani_h.pdf,https://minds.jcqhc.or.jp/summary/c00653/,,班長 中谷敏. Full-version path follows the /old/guideline/pdf/ pattern seen for sibling files (search snippet cited legacy j-circ.or.jp/guideline/pdf/JCS2017_nakatani_h.pdf). Supplement page: https://www.j-circ.or.jp/jcs2017_nakatani_supple/. A 2026 revision (JCS 2026 IE) exists on J-STAGE advpub CJ-25-0987.
jcs2017-infective-endocarditis-digest,JP,2017,日本循環器学会,感染性心内膜炎,【ダイジェスト版】感染性心内膜炎の予防と治療に関するガイドライン（2017年改訂版）,JCS 2017 Guideline on Prevention and Treatment of Infective Endocarditis - Digest Version,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2020/02/JCS2017_nakatani_d.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,URL literal from search index.
jcs2025-achd,JP,2025,日本循環器学会 / 日本小児循環器学会 / 日本成人先天性心疾患学会,総合/ACHD,2025年改訂版 成人先天性心疾患診療ガイドライン,JCS/JSPCCS/JSACHD 2025 Guideline on Management of Adult Congenital Heart Disease,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2025/03/JCS2025_Yamagishi.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 山岸敬幸. Main PDF filename INFERRED from the literal errata URL https://www.j-circ.or.jp/cms/wp-content/uploads/2025/03/JCS2025_Yamagishi_errata.pdf (JCS naming convention). Needs confirmation.
jsachd-domestic-guidelines-statements,JP,2023,日本成人先天性心疾患学会,総合/ACHD,日本成人先天性心疾患学会 ガイドライン・提言（国内）一覧（愛媛宣言2023、COVID-19対応、臓器移植 ほか）,"JSACHD Domestic Guidelines and Statements (incl. 2023 Ehime Declaration on organ transplantation for ACHD, COVID-19 statement)",ja,https://www.jsachd.org/guideline/domestic/,https://www.jsachd.org/guideline/,,Landing page only; individual statement PDFs were not surfaced by search.
achd-transition-teigen-2022,JP,2022,日本循環器学会 先天性心疾患の移行医療に関する横断的検討委員会（日本小児循環器学会・日本成人先天性心疾患学会ほか8学会）,総合/ACHD,先天性心疾患の成人への移行医療に関する提言（8学会合同提言、2022年3月改訂版）,"Statement on Transition of Care for Congenital Heart Disease Patients into Adulthood (8-society joint statement, revised March 2022)",ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2022/04/ACHD_Transition_Teigen_rev3_20220426.pdf,https://www.j-circ.or.jp/achd/achd_transition_teigen/,,委員長 三谷義英. URL literal from search index.
jcs2017-achd,JP,2017,日本循環器学会 / 日本胸部外科学会 / 日本産科婦人科学会 / 日本小児循環器学会 / 日本成人先天性心疾患学会 ほか,総合/ACHD,成人先天性心疾患診療ガイドライン（2017年改訂版）,Guidelines for Management of Congenital Heart Disease in Adults (JCS 2017),ja,https://www.j-circ.or.jp/old/guideline/pdf/JCS2017_ichida_h.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 市田蕗子. Superseded by 2025 edition. Mirror: https://plaza.umin.ac.jp/~jscvs/wordpress/wp-content/uploads/2020/06/JCS2017_ichida_h.pdf
jcs2025-pte-dvt-ph,JP,2025,日本循環器学会 / 日本肺高血圧・肺循環学会,肺高血圧,2025年改訂版 肺血栓塞栓症・深部静脈血栓症および肺高血圧症に関するガイドライン,"JCS/JPCPHS 2025 Guideline on Pulmonary Thromboembolism, Deep Vein Thrombosis and Pulmonary Hypertension",ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2025/03/JCS2025_Tamura.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 田村雄一. Supersedes 2017 PH guideline (includes pediatric/CHD-PAH). Patient lay summary: https://www.j-circ.or.jp/cms/wp-content/uploads/2026/05/JCS2025_Tamura_Lay-Summary.pdf
jcs2017-pulmonary-hypertension-en,JP,2019,"Japanese Circulation Society / JPCPHS (Circulation Journal, J-STAGE)",肺高血圧,（英語版）肺高血圧症治療ガイドライン（2017年改訂版）,Guidelines for the Treatment of Pulmonary Hypertension (JCS 2017/JPCPHS 2017) (Circ J 2019;83:842-945),en,https://www.jstage.jst.go.jp/article/circj/83/4/83_CJ-66-0158/_pdf,https://www.jstage.jst.go.jp/article/circj/83/4/83_CJ-66-0158/_html/-char/en,,PDF path derived from J-STAGE article page (standard /_pdf). PubMed 30853682.
jcs2017-pulmonary-hypertension,JP,2017,日本循環器学会 / 日本肺高血圧・肺循環学会,肺高血圧,肺高血圧症治療ガイドライン（2017年改訂版）,Guidelines for the Treatment of Pulmonary Hypertension (JCS 2017/JPCPHS 2017),ja,https://www.j-circ.or.jp/old/guideline/pdf/JCS2017_fukuda_h.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 福田恵一. Includes pediatric PH chapter. URL literal from search index. English: Circ J 2019;83:842-945 (https://www.jstage.jst.go.jp/article/circj/83/4/83_CJ-66-0158/_pdf).
jsfc-jspccs-fetal-echo-2nd-en,JP,2026,日本胎児心臓病学会 / 日本小児循環器学会,胎児,（英語版）胎児心エコー検査ガイドライン（第2版）,"JSPCCS Guidelines for Fetal Echocardiography, Second Edition (English)",en,https://www.jsfc.jp/wp-content/uploads/2026/01/JSPCCS-Guidelines-for-Fetal-Echocardiography-Second-Edition.pdf,https://www.jsfc.jp/guidelines,,Upload path dated 2026/01; guideline content is the 2021 second edition. URL literal from search index.
